Agency_Code,Unique_Investment_Identifier,Business Case ID,Agency,Investment Title,Project_ID,Project_Name,Project Description,Start_Date,Completion_Date,Duration,Planned_Completion_Date,Planned_Duration,Projected/Actual Project Completion Date (B2),Lifecycle_Cost,Planned_Cost,Actual_Cost,Updated Date,Updated Time,Column
5,005-000001231,219,Department of Agriculture(5),Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1094,Direct Loan System (DLS),"Farm Loan Programs (FLP) provides direct loans to farmers and ranchers who cannot obtain financing through conventional lending institutions. The DLS project is intended to streamline and modernize current FLP inefficient, duplicative, and paper-based loan making and loan servicing processes and support the USDAs Strategic Plan by deploying solutions that are customer focused, collaborative and results oriented.  This is the only portion of the CFLPIDS project that is currently undergoing DME.",2002-01-10T00:00:00Z,2018-09-28T00:00:00Z,6104,,,,116.8,11.678,11.591,1/8/2012,13:21:41,
5,005-000000083,230,Department of Agriculture(5),Public Health Data Communications Infrastructure System (PHDCIS),1941,Enterprise GSS,Enterprise General Support Systems.,2006-01-10T00:00:00Z,2018-09-30T00:00:00Z,4645,,,,242.985,11.442,11.442,28/02/2012,11:27:27,
5,005-000000083,230,Department of Agriculture(5),Public Health Data Communications Infrastructure System (PHDCIS),1940,Data Warehouse GSS,Data Warehouse General Support Systems.,2006-01-10T00:00:00Z,2018-09-30T00:00:00Z,4645,,,,242.985,11.441,11.441,28/02/2012,11:27:27,
5,005-000000083,230,Department of Agriculture(5),Public Health Data Communications Infrastructure System (PHDCIS),1939,Desktop GSS,Desktop General Support Systems.,2006-01-10T00:00:00Z,2018-09-30T00:00:00Z,4645,,,,242.984,11.441,11.441,28/02/2012,11:27:27,
5,005-000000083,230,Department of Agriculture(5),Public Health Data Communications Infrastructure System (PHDCIS),1942,FPS GSS,Financial Processing Center General Support System.,2006-01-10T00:00:00Z,2018-09-30T00:00:00Z,4645,,,,242.984,11.441,11.441,28/02/2012,11:27:27,
5,005-000000083,230,Department of Agriculture(5),Public Health Data Communications Infrastructure System (PHDCIS),1943,HR GSS,Human Resources General Support Systems.,2006-01-10T00:00:00Z,2018-09-30T00:00:00Z,4645,,,,242.984,11.441,11.441,28/02/2012,11:27:27,
5,005-000000073,393,Department of Agriculture(5),AgPRS - USDA Public Safety Land Mobile Radio System,1646,AgPRS Life Cycle Replacement Project,AgPRS Life Cycle Replacement Project This life cycle project provides essential upgrade and replacement of aging and material deficient communication infrastructure and equipment. Replace $1.6M of base stations nationally Repalce $2M of dispatch consoles nationally Replace $650k in Antenna and Power Supply nationally Replace $388k radio control systems nationally Replace $1.5M worth of aged and failing repeaters nationally Replace $4.3M in failing communication towers and shelters.,2011-03-10T00:00:00Z,2012-09-28T00:00:00Z,567,,,,18.4645,10.8098,10.4498,30/06/2012,14:56:42,
5,005-000002376,1099,Department of Agriculture(5),Conservation Delivery Streamline Initiative (CDSI),1091,CDSI FY'12 Phase 2 Plan & Dev,FY'12 second half activities for the CDSI Investment.,2012-01-04T00:00:00Z,2012-09-30T00:00:00Z,269,,,,10.386,10.386,10.386,30/06/2012,14:57:03,
5,005-000000038,214,Department of Agriculture(5),APHIS Enterprise Infrastructure,669,Enterprise Software license optimization,Maintain and update all Enterprise software licenses.,2011-03-10T00:00:00Z,2012-07-09T00:00:00Z,486,2012-07-09T00:00:00Z,486,2012-07-09T00:00:00Z,10.058,10.058,10.058,31/05/2012,14:20:14,
5,005-999991841,234,Department of Agriculture(5),Human Resources Line of Business:  Service Center,1769,WebTA,DME WebTA.,2011-01-06T00:00:00Z,2012-02-29T00:00:00Z,419,2012-02-29T00:00:00Z,419,2012-02-29T00:00:00Z,16.374,16.374,9.885,28/02/2012,14:17:14,
5,005-000002376,1099,Department of Agriculture(5),Conservation Delivery Streamline Initiative (CDSI),1090,CDSI FY'12 Phase 1 Plan & Dev,FY'12 first half activities for the CDSI Investment.,2011-03-10T00:00:00Z,2012-03-31T00:00:00Z,386,2012-03-30T00:00:00Z,385,2012-03-30T00:00:00Z,9.712,9.712,9.712,28/02/2012,11:22:45,
5,005-000002317,832,Department of Agriculture(5),Comprehensive Loan Program,1958,CLP Tabular Data Warehouse,CLP Data Warehouse modernization activites.,2010-01-09T00:00:00Z,2014-07-25T00:00:00Z,1657,,,,5.474,3.186588,8.463203,1/8/2012,13:21:20,
5,005-000000047,237,Department of Agriculture(5),Integrated Program Accounting System (IPAS),1104,IPAS Operations and Maintenance FY2012,IPAS Operations and Maintenance Activities for FY2012.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,8.210163,8.210163,8.210172,1/8/2012,13:23:00,
5,005-000001729,226,Department of Agriculture(5),"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",1684,AGxEDCx,Improve FAS information technology (IT) infrastructure and security by restructuring and transitioning FAS information technology services to management by the Office of the Chief Information Officer (OCIO).,2011-07-20T00:00:00Z,2012-07-19T00:00:00Z,365,,,,7.276,7.276,7.276,28/12/2011,9:29:28,
5,005-000002223,242,Department of Agriculture(5),NRM - Natural Resource Manager,1107,NRM Data Center Operations,This represents the major Data Center Operations that the NRM staff carry out on an annual basis in support of the NRM business applications and the NRM Steering Commitee approved annual program of work including: Architectural Direction; Data Center Operations (systems & database); Security Operations; Program Management Support; and Leadership Activities.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,7.02,7.018,7.018,30/11/2011,6:10:30,
5,005-000002223,242,Department of Agriculture(5),NRM - Natural Resource Manager,1108,"NRM Release 5.7 (February, 2012)",NRM Maintenace Release 5.7. Includes  Program of Work proposals identified as critical by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.,2011-01-10T00:00:00Z,2012-02-29T00:00:00Z,415,2012-02-29T00:00:00Z,415,2012-02-29T00:00:00Z,6.958,6.958,6.958,30/04/2012,11:15:04,
5,005-000001425,227,Department of Agriculture(5),Financial Management Modernization Initiative (FMMI),1969,FMMI Deployment 3,"Deployment of Marketing and Regulatory Programs (MRP), Natural Resources Conservation Service (NRCS).",2011-01-10T00:00:00Z,2012-03-31T00:00:00Z,445,2012-03-31T00:00:00Z,445,2012-03-31T00:00:00Z,8.942,1.811138,6.777,30/06/2012,14:57:47,
5,005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1699,Office Environment - Network Acceleration: Acquisition - Phase 1,This project will deploy network acceleration devices to the field offices in order to address the escalating need for additional network bandwidth as more services are delivered over the network.,2012-01-08T00:00:00Z,2013-01-31T00:00:00Z,389,,,,6.489216,6.489216,6.489216,30/01/2012,11:12:21,
5,005-000001232,220,Department of Agriculture(5),Consolidated Financial Management Information Systems (CFMIS) #106,1648,Ongoing maintenance of 26 financial systems within AFAO.,Contractor and FTE maintenance and production support for 26 financial applications within AFAO.,2011-01-07T00:00:00Z,2012-09-30T00:00:00Z,631,2012-09-30T00:00:00Z,631,2012-09-30T00:00:00Z,5.9004,5.9002,5.6813,1/8/2012,13:21:48,
5,005-000000083,230,Department of Agriculture(5),Public Health Data Communications Infrastructure System (PHDCIS),1944,Network GSS,Network General Support Systems.,2006-01-10T00:00:00Z,2018-09-30T00:00:00Z,4645,,,,242.985,5.656,5.656,28/02/2012,11:27:28,
5,005-000000027,251,Department of Agriculture(5),Store Tracking and Redemption System (STARS),1116,STARS Operations and Maintenance,STARS Operations and Maintenance Activities.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,5.470009,5.470008,5.469906,1/8/2012,13:36:04,
5,005-000002317,832,Department of Agriculture(5),Comprehensive Loan Program,1959,Geospatial Information System,Enhancements to existing GIS applications and new GIS (mapping) application development.,2010-02-26T00:00:00Z,2014-12-03T00:00:00Z,1741,,,,11.13,5.421781,5.337533,30/06/2012,14:56:49,
5,005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1719,2013 support service maint_13A,First Half-Year.,2012-01-10T00:00:00Z,2013-03-30T00:00:00Z,445,,,,5.303,5.303,5.303,23/09/2011,15:57:23,
5,005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1721,2013 support service maint_13B,Second Half-Year.,2013-01-04T00:00:00Z,2013-09-30T00:00:00Z,268,,,,5.303,5.303,5.303,23/09/2011,15:57:23,
5,005-000001425,227,Department of Agriculture(5),Financial Management Modernization Initiative (FMMI),3221,FMMI Deployment 3 Wave 2,"Testing, Deployment, and Stabilization of Forest Service (FS).",2012-01-06T00:00:00Z,2012-12-31T00:00:00Z,360,,,,7.32,5.09,5.09,30/06/2012,14:57:46,
5,005-000001425,227,Department of Agriculture(5),Financial Management Modernization Initiative (FMMI),3261,FMMI Deployment 3 Wave 2,"Testing, Deployment, and Stabilization of Forest Service (FS).",2012-01-06T00:00:00Z,2012-12-31T00:00:00Z,360,2012-08-31T00:00:00Z,237,2012-08-31T00:00:00Z,7.32,5.09,5.09,1/8/2012,13:22:28,
5,005-000002223,242,Department of Agriculture(5),NRM - Natural Resource Manager,1106,NRM Customer Relations Operations,"This represents the Major Customer Relations Operations that the NRM Staff carry out on an annual basis in support of the NRM Vision and annual program of work including: Account Management, Change Management, Help Desk Operations, Communications, Training, and Leadership activities.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,4.885,4.884,4.884,30/11/2011,6:10:30,
5,005-000001742,254,Department of Agriculture(5),"FSA Architecture, SDLC and Common IT Solutions  #0109",1397,FY12 Enterprise Architecture,Support for the EA Program.,2011-09-22T00:00:00Z,2012-09-21T00:00:00Z,365,,,,4.707543,4.70754,4.622721,1/8/2012,13:22:16,
5,005-000002340,841,Department of Agriculture(5),Enterprise Information Management (EIM) #119,1744,EIMPMO,"Provide program management support with a focus on maintaining the governance, policies, processes and tools necessary to support the program. Provide milestone and deliverable review support, EVM reporting, and stakeholder management to help the program achieve its objectives.",2011-03-06T00:00:00Z,2012-02-06T00:00:00Z,337,2012-02-06T00:00:00Z,337,2012-02-06T00:00:00Z,4.88587,4.88587,4.592241,1/8/2012,13:21:56,
5,005-000000073,393,Department of Agriculture(5),AgPRS - USDA Public Safety Land Mobile Radio System,1647,AgPRS Operations and Maintenance Project,"AgPRS Operations and Maintenance ProjectThis life cycle project provides essential sustainment and preventive maintenance of communication infrastructure and equipment. The AgPRS Land Mobile Radio Systems a comprehensive communication system serving Fire Dispatch, Law Enforcement as well as day to day administrative users, the system provides instantaneous vital information to mass quantities of personnel in the field quickly and concisely, over large geographic areas.",2011-03-10T00:00:00Z,2012-09-28T00:00:00Z,567,,,,21.611,4.6095,4.47375,30/06/2012,14:56:42,
5,005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1757,FY11-Q4 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",2011-01-07T00:00:00Z,2011-09-30T00:00:00Z,265,2011-09-30T00:00:00Z,265,2011-09-30T00:00:00Z,4.407,4.407,4.407,29/02/2012,10:04:16,
5,005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1756,FY11-Q3 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",2011-01-04T00:00:00Z,2011-06-30T00:00:00Z,176,2011-06-30T00:00:00Z,176,2011-06-30T00:00:00Z,4.407,4.407,4.341,29/02/2012,10:04:16,
5,005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1754,FY11-Q1 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",2010-01-10T00:00:00Z,2010-12-31T00:00:00Z,355,2010-12-30T00:00:00Z,354,2010-12-29T00:00:00Z,4.407,4.407,4.31,29/02/2012,10:04:16,
5,005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1755,FY11-Q2 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",2011-01-01T00:00:00Z,2011-03-31T00:00:00Z,88,2011-03-30T00:00:00Z,87,2011-03-30T00:00:00Z,4.407,4.407,4.308,29/02/2012,10:04:16,
5,005-000001742,254,Department of Agriculture(5),"FSA Architecture, SDLC and Common IT Solutions  #0109",1398,FY12 FTE Resources,Project to capture the FTE resources.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,4.282884,4.282884,4.282884,1/8/2012,13:22:16,
5,005-000000038,214,Department of Agriculture(5),APHIS Enterprise Infrastructure,670,Hardware Maintenance,Maintain Enterprise hardware service support and operational integrity.,2011-01-11T00:00:00Z,2012-05-31T00:00:00Z,505,2012-05-31T00:00:00Z,505,2012-05-31T00:00:00Z,4.268,4.268,4.268,30/06/2012,14:56:34,
5,005-000002223,242,Department of Agriculture(5),NRM - Natural Resource Manager,1109,"NRM Release 5.8 (May, 2012)",NRM Maintenace Release 5.8. Includes  Program of Work proposals identified as critical by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.,2012-01-03T00:00:00Z,2012-05-31T00:00:00Z,148,2012-05-31T00:00:00Z,148,2012-05-31T00:00:00Z,4.175,4.175,4.175,30/04/2012,11:15:04,
5,005-000002223,242,Department of Agriculture(5),NRM - Natural Resource Manager,1110,"NRM Release 5.9 (August, 2012)",NRM Maintenace Release 5.9. Includes  Program of Work proposals identified as critical by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.,2012-01-06T00:00:00Z,2012-08-31T00:00:00Z,237,,,,4.175,4.175,4.175,22/09/2011,14:32:48,
5,005-000002317,832,Department of Agriculture(5),Comprehensive Loan Program,1957,Commercial Loan Servicing System,"Implement architectural improvements while moving commercial programs and functionality from PLAS, GLS, and RUS Legacy into CLSS.",2010-07-19T00:00:00Z,2015-09-29T00:00:00Z,1898,,,,10.028,3.621126,4.154248,1/8/2012,13:21:20,
5,005-000002340,841,Department of Agriculture(5),Enterprise Information Management (EIM) #119,1741,DWDS,The objective of this task is to provide the planning and FY2012 O&amp;M activities for the FSA Enterprise Data Warehouse.,2011-07-18T00:00:00Z,2012-07-17T00:00:00Z,365,2012-07-17T00:00:00Z,365,2012-07-17T00:00:00Z,3.795235,3.795235,3.669104,1/8/2012,13:21:56,
5,005-000002152,238,Department of Agriculture(5),NASS Survey Processing System,1105,Survey Processing Systems operations.,Maintaining the steady state system used to generate approximately 500 reports annually. There are no projects spanning fiscal years and the investment will be sunset in BY-13.,2004-09-30T00:00:00Z,2013-09-30T00:00:00Z,3287,,,,65.733,3.412,3.412,1/8/2012,13:23:05,
5,005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1758,FY12-Q1 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",2011-01-10T00:00:00Z,2011-12-31T00:00:00Z,355,2011-12-30T00:00:00Z,354,2011-12-30T00:00:00Z,3.3034,3.3034,3.3034,29/02/2012,10:04:17,
5,005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1759,FY12-Q2 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",2012-01-01T00:00:00Z,2012-03-31T00:00:00Z,89,2012-03-31T00:00:00Z,89,2012-03-31T00:00:00Z,3.3034,3.3034,3.3034,31/05/2012,14:22:20,
5,005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1760,FY12-Q3 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",2012-01-04T00:00:00Z,2012-06-30T00:00:00Z,177,2012-06-30T00:00:00Z,177,2012-06-30T00:00:00Z,3.3034,3.3034,3.3034,1/8/2012,13:36:06,
5,005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1761,FY12-Q4 O&amp;M,"On-going operations and maintenance work to support eAuthentication, EIMS, and EEMS.",2012-01-07T00:00:00Z,2012-09-30T00:00:00Z,266,2012-09-30T00:00:00Z,266,2012-09-30T00:00:00Z,3.3034,3.3034,3.3034,1/8/2012,13:36:06,
5,005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1697,End User Devices - End User Workstation Refresh: Acquisition - Phase 1,"Replacing the Service Center Agency desktops, laptops, and tablets based on a lifecycle management strategy and regular refresh cycle.",2012-06-15T00:00:00Z,2012-11-30T00:00:00Z,168,,,,3.244608,3.244608,3.244608,30/01/2012,11:12:21,
5,005-000002317,832,Department of Agriculture(5),Comprehensive Loan Program,1960,GLS Modernization,Modernize GLS Hardware and Software and eliminate old technologies. This includes the migration of all GLS I-CASE applications to a JAVA/J2EE architecture.  Rewriting the existing Electronic Data Interchange  processes.  Move all Direct BI and CF loan making and servicing activities to the appropriate system(s).,2010-01-06T00:00:00Z,2014-01-05T00:00:00Z,1460,,,,8.649,3.212212,3.216402,1/8/2012,13:21:20,
5,005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1712,Office Environment - Optimized Telephony: Acquisition - Phase 1,Deploy an optimized telephony solution suitable for use throughout the SCA Environment.,2012-08-15T00:00:00Z,2013-01-31T00:00:00Z,169,,,,2.947186,2.947186,2.947186,30/01/2012,11:12:22,
5,005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1709,Office Environment - Network Device Refresh: Planning,This project captures the cost of upgrading or replacing all switches and routers in the ITS network that will become unsupported in the next 1-2 years.,2012-06-15T00:00:00Z,2012-12-14T00:00:00Z,182,,,,2.858292,2.858292,2.858292,30/01/2012,11:12:22,
5,005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1747,eAuth Modernization,Modernization of the eAuthentication Service to align with USDA's ICAM target vision and to integrate fully with the USDA-ICAM architecture and EEMS suite of services.,2011-04-01T00:00:00Z,2012-04-27T00:00:00Z,392,2012-04-27T00:00:00Z,392,2012-07-17T00:00:00Z,3,2.8474,2.847,1/8/2012,13:36:07,
5,005-000002317,832,Department of Agriculture(5),Comprehensive Loan Program,1949,Supporting Application Modernization,Implement common application framework and build support applications to efficiently meet diverse and changing business needs.,2010-04-01T00:00:00Z,2015-07-31T00:00:00Z,1947,,,,11.272,2.867141,2.833405,31/05/2012,17:18:32,
5,005-000002328,235,Department of Agriculture(5),IBS - Incident Business System,1767,Provision of O&M Services,Provides services required to meet objectives of investment.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,2.7036,2.7036,2.7036,23/09/2011,18:22:03,
5,005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1713,Office Environment - Domain Controller Refresh: Acquisition,A refresh is needed for the servers acting as domain controllers in the field offices.,2012-01-08T00:00:00Z,2013-01-31T00:00:00Z,389,,,,2.595686,2.595686,2.595686,30/01/2012,11:12:22,
5,005-000002276,369,Department of Agriculture(5),Enterprise Human Capital Management (EHCM),1739,Maintenance2,Upgrades and Enhancements.,2012-01-10T00:00:00Z,2013-01-04T00:00:00Z,360,,,,9.765558,8.437644,2.465,30/06/2012,15:25:47,
5,005-000002317,832,Department of Agriculture(5),Comprehensive Loan Program,1947,Next Generation Originations Solution,Implement an updated Originations solution to support all RD loan and grant programs and replace the current rules engine with a more robust rules engine.,2010-09-30T00:00:00Z,2015-09-28T00:00:00Z,1824,,,,14.836,2.56082,2.446351,30/06/2012,14:56:49,
5,005-000002317,832,Department of Agriculture(5),Comprehensive Loan Program,1954,CLP Integration,The RD Enterprise Architecture Program is focused on establishing baseline and target architectures that provide a roadmap for the implementation of CLP.,2010-08-31T00:00:00Z,2011-10-10T00:00:00Z,405,2011-09-30T00:00:00Z,395,2011-09-30T00:00:00Z,4.801,2.495101,2.440861,30/03/2012,7:07:58,
5,005-000002276,369,Department of Agriculture(5),Enterprise Human Capital Management (EHCM),1738,Maintenance,Upgrades and Enhancements.,2011-01-10T00:00:00Z,2012-01-04T00:00:00Z,359,2012-01-04T00:00:00Z,359,2012-10-31T00:00:00Z,10.301119,7.6778,2.321,30/06/2012,15:25:47,
5,005-000000038,214,Department of Agriculture(5),APHIS Enterprise Infrastructure,671,Enterprise Life Cycle Management,Engage life cycle management of Enterprise systems. Target is optimal performance of Enterprise.,2012-01-03T00:00:00Z,2012-08-24T00:00:00Z,233,2012-08-24T00:00:00Z,233,2012-08-24T00:00:00Z,4.01,2.23,2.23,1/8/2012,13:21:08,
5,005-000001232,220,Department of Agriculture(5),Consolidated Financial Management Information Systems (CFMIS) #106,1649,Maintenance support for FMMI Readiness.,Maintenance activities to prepare AFAO financial systems for alignment with FMMI.,2011-01-07T00:00:00Z,2012-09-30T00:00:00Z,631,2012-09-30T00:00:00Z,631,2012-09-30T00:00:00Z,2.306,2.3053,2.1889,1/8/2012,13:21:48,
5,005-000001425,227,Department of Agriculture(5),Financial Management Modernization Initiative (FMMI),2937,FMMI Deployment 3 Wave 1,Deployment and Stablization of Natural Resources Conservation Service (NRCS).,2012-02-04T00:00:00Z,2012-05-31T00:00:00Z,116,2012-05-31T00:00:00Z,116,2012-05-31T00:00:00Z,1.602,1.601,2.184,1/8/2012,13:22:28,
5,005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1688,Data Centers - Web Farm Hardware Refresh: Acquisition Phase 1,"This project replaces Web Farm (and other centralized) hardware based on a regular and ongoing (i.e., predetermined) lifecycle.",2012-01-08T00:00:00Z,2013-01-31T00:00:00Z,389,,,,2.163072,2.163072,2.163072,30/01/2012,11:12:21,
5,005-000001742,254,Department of Agriculture(5),"FSA Architecture, SDLC and Common IT Solutions  #0109",1399,FY12 Program Management,Support for the Program Management Office.,2011-09-14T00:00:00Z,2012-09-13T00:00:00Z,365,,,,2.149643,2.149643,2.140975,1/8/2012,13:22:16,
5,005-000000054,271,Department of Agriculture(5),Geographic Information System  (GIS) #84,1655,Support Services 2011,Software Development and Project Management.,2010-01-12T00:00:00Z,2011-11-30T00:00:00Z,687,2011-11-30T00:00:00Z,687,2011-11-30T00:00:00Z,2.2,2.2,2.12855,28/02/2012,14:24:21,
5,005-000002340,841,Department of Agriculture(5),Enterprise Information Management (EIM) #119,1742,EIMTS,"Support certification and user acceptance testing activities related to testing enterprise data components (i.e., BI and ETL components), data marts, and data warehouse and associated components.",2011-09-30T00:00:00Z,2012-09-29T00:00:00Z,365,,,,2.3252,2.3252,2.112327,1/8/2012,13:21:56,
5,005-000002340,841,Department of Agriculture(5),Enterprise Information Management (EIM) #119,1745,Hosting,"Provide hosting services for the Enterprise Data Warehouse environment, including software and hardware maintenance support.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,1.988088,1.988088,1.988088,1/8/2012,13:21:56,
5,005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1716,ITM Phase 3 Develop. New_12A,First Half-Year.,2011-01-10T00:00:00Z,2012-03-30T00:00:00Z,444,,,,1.9,1.9,1.9,23/09/2011,15:57:23,
5,005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1718,ITM Phase 3 Develop. New_12B,Second Half-Year.,2012-01-04T00:00:00Z,2012-09-30T00:00:00Z,269,,,,1.9,1.9,1.9,23/09/2011,15:57:23,
