Agency_Code,Unique_Investment_Identifier,Business Case ID,Agency,Investment Title,Project_ID,Project_Name,Project Description,Start_Date,Completion_Date,Duration,Planned_Completion_Date,Planned_Duration,Projected/Actual Project Completion Date (B2),Lifecycle_Cost,Planned_Cost,Projected/Actual Cost ($ M),Updated Date,Updated Time,Column
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),2889,Regional Income Aggregation,Develop a new multi-dimensional Regional income aggregation system across multiple publication types.,2012-03-01T00:00:00Z,2012-09-30T00:00:00Z,212,2012-09-30T00:00:00Z,212,2012-09-30T00:00:00Z,0.35,0.35,0.135,16/08/2012,9:44:53,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),3197,National Accounts Modernization Phase 2,Complete high priority follow-on process modernization work within the national accounts.,2012-05-21T00:00:00Z,2012-09-30T00:00:00Z,132,2012-09-30T00:00:00Z,132,2012-09-30T00:00:00Z,0.48,0.48,0.48,29/06/2012,13:01:20,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),3199,National Accounts Metadata Enhancements,Streamline product metadata and build metadata editor for product time series.,2012-01-10T00:00:00Z,2013-03-31T00:00:00Z,446,,,,0.375,0.375,0.375,29/06/2012,13:01:20,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),3201,Balance of Payments Process Modernization Phase 2,"Incorporate into central system, parallel test, and verify estimates for International Investment Position, Trade in Goods and Services (including BPRL conversion).",2012-01-10T00:00:00Z,2013-09-30T00:00:00Z,628,,,,0.46,0.46,0.46,29/06/2012,13:01:20,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),3203,DID Modernization Phase 2,Incorporate remaining international investment surveys into central system.,2012-01-10T00:00:00Z,2013-08-31T00:00:00Z,598,,,,0.475,0.475,0.475,29/06/2012,13:01:20,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),3205,Industry Accounts Modernization,Develop initial industry data hub.,2012-01-10T00:00:00Z,2012-12-31T00:00:00Z,356,,,,0.2,0.15,0.15,29/06/2012,13:01:20,
6,006-000400100,648,Department of Commerce(6),Census - American Community Survey (ACS),1242,Data Collection,"Collect housing unit and group quarters data via Mail, CATI and CAPI modes. Two teams are reviewing and providing improvements suggestions to the program. The Interconnection Documents and Testing Team identify internal and external IT interfaces to  create robust test decks to the test interfaces of the  various modes of data collection.  The Internet Implementation Team is a multi-divisional team identifying issues surrounding the implementation of an internet mode of data collection.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,11.365234,11.365234,9.397782,29/02/2012,8:54:58,
6,006-000400100,648,Department of Commerce(6),Census - American Community Survey (ACS),1243,Data Processing,"Data Processing, weighting, and review of survey data collected. Two teams are reviewing and providing improvements suggestions to the program. The Data Capture File (DCF) Team documents current DCF processing and develop to-be requirements for the CDF, create specs, and program.  The Process Improvement Team is a multi-divisional designed to identify areas of improvement for the ACS and to plan and implement these improvements.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,15.796858,15.796858,16.183145,29/02/2012,8:54:58,
6,006-000400100,648,Department of Commerce(6),Census - American Community Survey (ACS),1244,Data Dissemination,Tabulating and dissemination of survey data products. The Process Improvement Team is a multi-divisional designed to identify areas of improvement for the ACS and to plan and implement these improvements.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,14.327908,14.327908,14.536141,29/02/2012,8:54:58,
6,006-000400900,678,Department of Commerce(6),Census - Geographic Support Systems (GSS),985,Address Updates,"Develop GPS collection capability and enhance software functionality; Develop functioning tracking, processing and reporting systems in support of receiving and processing government entity address lists; Develop an improved geocoding system; List addresses in at least 20,000 targeted census blocks in CAUS program.",2011-01-11T00:00:00Z,2013-09-30T00:00:00Z,992,,,,12.824599,5.766296,5.766137,15/08/2012,8:44:38,
6,006-000400900,678,Department of Commerce(6),Census - Geographic Support Systems (GSS),986,Feature Updates,"Develop functioning management, acquisition, distribution and use systems in support of receiving and processing partner-supplied feature updates; Identify a viable change detection technique; either acquire the software for in-house use or contract for services.",2011-01-11T00:00:00Z,2013-09-30T00:00:00Z,992,,,,14.534012,8.830269,8.829927,15/08/2012,8:44:38,
6,006-000401000,680,Department of Commerce(6),Census - Local Employment Dynamics IT Support (LED),987,Self-Employment Data,Integration of Self Employment data into program infrastructure.,2010-01-10T00:00:00Z,2012-03-30T00:00:00Z,809,2012-03-30T00:00:00Z,809,2012-03-30T00:00:00Z,0.555,0.286,0.2712,16/08/2012,5:09:47,
6,006-000401000,680,Department of Commerce(6),Census - Local Employment Dynamics IT Support (LED),988,Federal Worker Data,Complete integration of Federal Worker data into program infrastructure.,2010-01-10T00:00:00Z,2012-06-30T00:00:00Z,901,2012-06-30T00:00:00Z,901,2012-06-30T00:00:00Z,0.675,0.548,0.4959,16/08/2012,5:09:47,
6,006-000401000,680,Department of Commerce(6),Census - Local Employment Dynamics IT Support (LED),989,Firm Age and Size,Complete integration of these data elements into the program infrastructure and update supporting web applications.,2010-01-10T00:00:00Z,2012-06-07T00:00:00Z,878,2012-06-07T00:00:00Z,878,2012-09-30T00:00:00Z,1.6,1.395,0.933,16/08/2012,5:09:47,
6,006-000401000,680,Department of Commerce(6),Census - Local Employment Dynamics IT Support (LED),990,National Indicators,Integration of update to QWI data product that provides employment indicators on a national level as opposed to current state based.,2010-01-10T00:00:00Z,2014-09-30T00:00:00Z,1723,,,,3.27,0.534,0.4395,16/08/2012,5:09:47,
6,006-000401000,680,Department of Commerce(6),Census - Local Employment Dynamics IT Support (LED),991,Job-to-Job Flow,Integration of update to infrastructure to allow for job flow analysis.,2011-03-10T00:00:00Z,2015-09-30T00:00:00Z,1664,2012-09-28T00:00:00Z,567,2012-09-28T00:00:00Z,5.529,0.388,0.3815,30/07/2012,9:17:23,
6,006-000401000,680,Department of Commerce(6),Census - Local Employment Dynamics IT Support (LED),992,Web Enhancements,Update to the LED website and supporting applications/systems to incorporate new data and data elements.,2011-03-01T00:00:00Z,2012-03-30T00:00:00Z,394,2012-03-30T00:00:00Z,394,2012-05-30T00:00:00Z,1.238,0.438,0.4542,30/07/2012,9:17:23,
6,006-000401000,680,Department of Commerce(6),Census - Local Employment Dynamics IT Support (LED),993,Delivery of Data Products,Continual update of production code and delivery of quarterly data.,2010-01-10T00:00:00Z,2015-09-30T00:00:00Z,2088,2012-09-28T00:00:00Z,991,2012-09-28T00:00:00Z,10.5,2.341,2.2926,16/08/2012,5:09:47,
6,006-000003213,694,Department of Commerce(6),NOAA/NESDIS/ Environmental Satellite Processing Center (ESPC),1666,IT Refresh,IT Refresh is an on-going effort to extend the life cycle of ESPC O&amp;M Investment.  Commercial computer equipment supportability issues typically surface after five to seven years of service.  This project may include infrastructure refresh/replacement.,2011-08-15T00:00:00Z,2012-09-30T00:00:00Z,412,2012-09-28T00:00:00Z,410,2012-09-28T00:00:00Z,0.275,0.275,0.285,29/06/2012,7:36:26,
6,006-000003213,694,Department of Commerce(6),NOAA/NESDIS/ Environmental Satellite Processing Center (ESPC),1667,FY12 Product and Processing Deployment to Operations,"To deploy infrastructure into an operational configuration for satellites, products and distribution systems.",2011-04-16T00:00:00Z,2012-09-30T00:00:00Z,533,,,,0.606,0.606,0.605,16/08/2012,10:27:33,
6,006-000003213,694,Department of Commerce(6),NOAA/NESDIS/ Environmental Satellite Processing Center (ESPC),1668,Scheduler Replacement Phase I,Re-fresh Product processing scheduling softwarePhase I. (Standalone two server platform).,2011-01-09T00:00:00Z,2011-11-30T00:00:00Z,325,2011-11-15T00:00:00Z,310,2011-11-14T00:00:00Z,0.0075,0.0075,0.07,30/01/2012,12:09:16,
6,006-000321500,695,Department of Commerce(6),NOAA/NESDIS/ GOES-R Series Ground Segment,1276,GOES-R Project Office Support,GOES-R Project Office Support encompasses all government FTEs and contractor WYEs supporting GOES-R Ground Segment Project.,2006-01-10T00:00:00Z,2020-09-30T00:00:00Z,5376,2012-09-28T00:00:00Z,2452,2012-09-28T00:00:00Z,233.156,33.728,33.601,16/08/2012,5:54:36,
6,006-000321500,695,Department of Commerce(6),NOAA/NESDIS/ GOES-R Series Ground Segment,1278,GOES-R CLASS Archive,GOES-R CLASS archive system provides repository for GOES-R data for end user access.,2007-01-06T00:00:00Z,2015-09-30T00:00:00Z,3188,2012-09-30T00:00:00Z,2093,2012-09-30T00:00:00Z,54.8,10.3,10.3,29/06/2012,11:00:05,
6,006-000321500,695,Department of Commerce(6),NOAA/NESDIS/ GOES-R Series Ground Segment,1279,GOES-R Algorithm Working Group,GOES-R Algorith Working Group provides algorithm theoretical basis documents and validation testing for GOES-R products.,2007-01-06T00:00:00Z,2016-09-30T00:00:00Z,3554,2012-09-30T00:00:00Z,2093,2012-09-30T00:00:00Z,117.419,13,13,30/05/2012,10:44:24,
6,006-000321500,695,Department of Commerce(6),NOAA/NESDIS/ GOES-R Series Ground Segment,1280,GOES-R Facility Upgrades,"Upgrade RBU, NSOF, and WCDAS in support of GOES-R Program.",2009-01-07T00:00:00Z,2014-06-30T00:00:00Z,1999,2012-09-28T00:00:00Z,1359,2012-09-28T00:00:00Z,77.976,59.576,59.555,16/08/2012,5:54:36,
6,006-000321500,695,Department of Commerce(6),NOAA/NESDIS/ GOES-R Series Ground Segment,1281,GOES-R Antenna System,"GOES-R Antenna System consists of six new antenna stations (3 at WCDAS and 3 at RBU), as well as upgrades to four antenna at NSOF.",2010-07-19T00:00:00Z,2020-07-18T00:00:00Z,3652,2012-09-30T00:00:00Z,804,2012-09-30T00:00:00Z,130.703,60.273,60.371,16/08/2012,5:54:36,
6,006-000321500,695,Department of Commerce(6),NOAA/NESDIS/ GOES-R Series Ground Segment,1282,GOES-R Access Subsystem,GOES-R Access Subsystem provides product distribution and access functionality for GOES-R data.,2010-05-08T00:00:00Z,2018-04-08T00:00:00Z,2892,2012-09-30T00:00:00Z,876,2012-09-30T00:00:00Z,42.561,13.673,13.651,30/05/2012,10:44:24,
6,006-000321500,695,Department of Commerce(6),NOAA/NESDIS/ GOES-R Series Ground Segment,1283,GOES-R Telecommunications,GOES-R Telecommunications provides telecommunication networks for the GOES-R Program.,2012-03-15T00:00:00Z,2016-09-30T00:00:00Z,1659,,,,35.313,2.5,2.5,16/08/2012,5:54:36,
6,006-000321100,696,Department of Commerce(6),NOAA/NESDIS/ NPP Data Exploitation (NDE),1289,Prepare NDE System for transitioning to OSPO.,Conduct and complete interface testing with EUMETSAT and conduct interface testing with CLASS. Develop NDE Operations Handbook for ESPC staff. Continue development and testing of Build 4 software before final transition to ESPC.,2011-01-10T00:00:00Z,2012-09-28T00:00:00Z,626,2012-09-28T00:00:00Z,626,2012-09-28T00:00:00Z,2.308,2,2.173,16/08/2012,10:59:08,
6,006-000321100,696,Department of Commerce(6),NOAA/NESDIS/ NPP Data Exploitation (NDE),1290,Prepare NDE Production Environment for integration into OSPO.,"Complete the integration of the NDE Production Environment. Develop training modules for system administrators, network administrators and Science Product Area Leaders (PAL).",2011-01-11T00:00:00Z,2012-06-15T00:00:00Z,520,2012-04-30T00:00:00Z,474,2012-08-20T00:00:00Z,0.475,0.475,0.591,16/08/2012,10:59:08,
6,006-000321100,696,Department of Commerce(6),NOAA/NESDIS/ NPP Data Exploitation (NDE),1291,Deliver Phase 1 Mission Continuity Products from NPP,Deliver and integrate science algorithms into the NDE system Test Environment and the Production Environment.,2011-01-11T00:00:00Z,2012-09-15T00:00:00Z,612,2012-09-14T00:00:00Z,611,2012-09-14T00:00:00Z,1.58,1.58,1.58,29/06/2012,7:38:43,
6,006-000321200,697,Department of Commerce(6),NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System),1284,NPOESS Preparatory Project,Block 1.0 NPP Initial Ground System.,2010-01-10T00:00:00Z,2011-09-30T00:00:00Z,627,2011-09-30T00:00:00Z,627,2011-09-30T00:00:00Z,25.4,25.4,34.879,31/05/2012,6:29:56,
6,006-000321200,697,Department of Commerce(6),NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System),1285,DMSP/METRO Project,Block 1.1 Integration of DMSP/METRO with Communication Backbone.,2011-01-10T00:00:00Z,2012-02-29T00:00:00Z,415,2012-02-29T00:00:00Z,415,2012-02-29T00:00:00Z,100.6346,100.6346,83.446,31/05/2012,6:29:56,
6,006-000321200,697,Department of Commerce(6),NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System),1286,Near-Term NPP Post-Launch Project,Block 1.2 Near-Term NPP Post-Launch.,2012-01-01T00:00:00Z,2012-09-30T00:00:00Z,272,,,,94.4061,94.4061,112.0589,30/07/2012,12:00:51,
6,006-000321200,697,Department of Commerce(6),NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System),1287,Operational NPP,Block 1.5 Operationalizing NPP.,2012-01-02T00:00:00Z,2014-04-30T00:00:00Z,848,,,,41.06,41.06,41.151,26/04/2012,7:03:05,
6,006-000321200,697,Department of Commerce(6),NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System),1288,JPSS-1 Project,Block 2.0 JPSS-1 integration with the Ground System.,2012-01-05T00:00:00Z,2015-11-30T00:00:00Z,1425,,,,116.7527,116.7527,116.7527,29/06/2012,10:47:25,
6,006-000321600,698,Department of Commerce(6),NOAA/NESDIS/ National Climatic Data Center (NCDC),1470,NCDC HSPD12 Implementation,CAC readers to be installed on all desktops and laptops.,2011-01-06T00:00:00Z,2012-03-30T00:00:00Z,448,2012-03-30T00:00:00Z,448,2011-10-31T00:00:00Z,0.075,0.075,0.075,31/05/2012,8:55:42,
6,006-000321600,698,Department of Commerce(6),NOAA/NESDIS/ National Climatic Data Center (NCDC),1471,Climate Data Modernization Program (CDMP),Data conversion and archives rescue.,2010-01-10T00:00:00Z,2012-09-30T00:00:00Z,993,2012-09-30T00:00:00Z,993,2012-09-30T00:00:00Z,8,6,5.34,16/08/2012,10:30:48,
6,006-000321600,698,Department of Commerce(6),NOAA/NESDIS/ National Climatic Data Center (NCDC),1472,NCDC System Virtualization,Virtualizing Linux and Sun systems when feasible.,2011-01-07T00:00:00Z,2014-09-30T00:00:00Z,1361,2012-02-04T00:00:00Z,393,2012-02-04T00:00:00Z,0.5,0.175,0.15,16/08/2012,10:30:48,
6,006-000321600,698,Department of Commerce(6),NOAA/NESDIS/ National Climatic Data Center (NCDC),1473,NCDC Security System 5009,Keeping documentation and  system testing for NCDC system 5009 current.,2011-01-04T00:00:00Z,2012-09-30T00:00:00Z,634,2012-09-30T00:00:00Z,634,2012-09-30T00:00:00Z,0.9,0.4,0.4,16/08/2012,10:30:48,
6,006-000321600,698,Department of Commerce(6),NOAA/NESDIS/ National Climatic Data Center (NCDC),1474,Climate Data Records,"A climate data record is a time series of measurements of sufficient length, consistency and continuity to determine climate variability and change.",2010-01-10T00:00:00Z,2012-09-30T00:00:00Z,993,2012-09-28T00:00:00Z,991,2012-09-28T00:00:00Z,75,20.5,19.576,16/08/2012,10:30:48,
6,006-000003202,699,Department of Commerce(6),NOAA/NESDIS/ POES Ground System (POES-GS),1293,Special Projects,"Provide technical support and equipment to OSD and OSPO sites to improve systems performance and resolve special issues including data archiving, new ground systems requirements  for handling data from new satellites, and IT infrastructure needs.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,6.22,6.22,6.774,16/08/2012,11:00:05,
6,006-000003202,699,Department of Commerce(6),NOAA/NESDIS/ POES Ground System (POES-GS),1294,Radio Frequency (RF),Monitor current RF systems and provide RF engineering support to resolve RF issues. Upgrade SW/HW requirements to support polar's international agreements.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-03-31T00:00:00Z,445,2012-09-03T00:00:00Z,0.15,0.15,0.11,31/07/2012,11:55:04,
6,006-000003202,699,Department of Commerce(6),NOAA/NESDIS/ POES Ground System (POES-GS),1295,Telemetry and Command/Instruments,"Provide technical analysis, identify causes, mitigation, and solutions for performance issues, develop technical specifications for new telemetry systems, and study new technology for possible applications to NESDIS systems.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,1,1,0.969,29/06/2012,10:48:57,
6,006-000003202,699,Department of Commerce(6),NOAA/NESDIS/ POES Ground System (POES-GS),1296,IT Refresh,"Support IT refresh particularly compliance with NOAA NESDIS configuration management and enterprise architecture guidelines, and compatibility and interoperability with NESDIS ground systems.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,0.49,0.49,0.48,29/06/2012,10:48:57,
6,006-000003202,699,Department of Commerce(6),NOAA/NESDIS/ POES Ground System (POES-GS),1297,IT Security,Polar ground system compliance with IT security requirements including periodic recertifications.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,1.6,1.6,1.6,29/06/2012,10:48:57,
6,006-000310100,701,Department of Commerce(6),NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1475,AWIPS II Migration,Migration of AWIPS capabilities to new software architecture.,2006-01-03T00:00:00Z,2012-03-31T00:00:00Z,2278,2012-03-31T00:00:00Z,2278,2011-08-12T00:00:00Z,30.161314,2.52,0.9374,16/08/2012,12:23:24,
6,006-000310100,701,Department of Commerce(6),NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1476,N-AWIPS Migration,Migrate National Centers AWIPS (NAWPS) functions to AWIPS II SOA.,2007-01-10T00:00:00Z,2013-03-31T00:00:00Z,2272,2012-09-30T00:00:00Z,2089,2012-09-30T00:00:00Z,7.849,1,1,16/08/2012,12:23:24,
6,006-000310100,701,Department of Commerce(6),NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1477,Collaboration,"Real-time collaboration among NWS operators and between NWS operators and partners, e.g., Emergency Managers to support improved product consistency, quality and decision assistance.",2008-01-07T00:00:00Z,2014-12-31T00:00:00Z,2550,,,,8.972,1,1,16/08/2012,12:23:24,
6,006-000310100,701,Department of Commerce(6),NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1478,Data Delivery,Smart Push/Pull technologies to enable AWIPS to handle increased data volumes associated with major agency initiatives.,2008-01-07T00:00:00Z,2014-09-30T00:00:00Z,2457,2012-09-30T00:00:00Z,1727,2012-09-30T00:00:00Z,8.824,2,2.15799,16/08/2012,12:23:24,
6,006-000310100,701,Department of Commerce(6),NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1479,Thin Client,Develop enterprise solution for remote access to AWIPS capabilities.,2008-01-07T00:00:00Z,2012-06-30T00:00:00Z,1635,2012-06-30T00:00:00Z,1635,2012-06-30T00:00:00Z,2.281,0.75,0.62309,16/08/2012,12:23:24,
6,006-000310100,701,Department of Commerce(6),NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1480,Information Generation,Streamlined information generation dissemination and access for partners to support decision assistance.,2010-01-10T00:00:00Z,2014-09-30T00:00:00Z,1723,2012-09-30T00:00:00Z,993,2012-09-30T00:00:00Z,5.549,1.25,1.00965,16/08/2012,12:23:24,
6,006-000310100,701,Department of Commerce(6),NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1482,Weather Event Simulator Integration,Integation of weather event simulator capabilities into SOA.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,3.386,1,1,16/08/2012,12:23:24,
6,006-000310100,701,Department of Commerce(6),NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1483,AWIPS,All activities associated with support AWIPS O&amp;M and Product Improvement.,2010-01-10T00:00:00Z,2011-09-30T00:00:00Z,627,2011-09-30T00:00:00Z,627,2011-09-30T00:00:00Z,63.352,63.352,54.629,29/02/2012,8:55:10,
6,006-000311000,702,Department of Commerce(6),NOAA/NWS/ Data Assimilation and Modeling,1523,Develop New Models,The Data Assimilation and Modeling Project is tasked with upgrading existing and implementing new operational numerical guidance systems to meet  NOAA environmental prediction requirements.,2010-01-10T00:00:00Z,2016-09-30T00:00:00Z,2454,,,,48.655,13.168,13.064,16/08/2012,10:40:08,
6,006-000311000,702,Department of Commerce(6),NOAA/NWS/ Data Assimilation and Modeling,1524,Porting Software to New SuperComputer,The NCEP operational production suite of models must be transition from the IBM P6 to the yet to be defined new operational super computer.,2012-01-07T00:00:00Z,2012-01-11T00:00:00Z,4,,,,1.62,0.93,0.93,30/04/2012,10:38:17,
6,006-000310400,703,Department of Commerce(6),NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup),1484,WCOSS Task Orders (five year base period),"Through the execution of task orders during the 5-year base period, the WCOSS IDIQ contract provides the primary and backup operational supercomputers, vendor provided facilities for the primary and backup supercomputers, and related High Performance Computing (HPC) services in support of WCOSS, and growth options for additional computing capabilities, facilities, and/or HPC services.",2010-09-23T00:00:00Z,2017-02-14T00:00:00Z,2336,,,,90,16.150005,16.146005,17/08/2012,11:41:56,
6,006-000310400,703,Department of Commerce(6),NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup),1485,WCOSS Bridge Contract FY11/FY13,The Bridge Contract provides the two-year bridge to ensure continuity with the current WCOSS and overlaps the first two years of the new WCOSS acquisition (FY12 and FY13). The Bridge contract includes one FY12 1-year base period and multiple FY13 option periods.,2011-07-19T00:00:00Z,2013-09-30T00:00:00Z,804,,,,21.86,21.351,21.348,17/08/2012,11:41:56,
6,006-000310400,703,Department of Commerce(6),NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup),1486,Government furnished facilities for Bridge Contract  FY12/FY13,"FY12/FY13 O&M for the Bridge Government furnished facilities for the Bridge contract -- NASA IV&V in Fairmont, WV.",2011-01-10T00:00:00Z,2013-09-30T00:00:00Z,993,,,,2.4,1.500004,1.500004,17/08/2012,11:41:56,
6,006-000310400,703,Department of Commerce(6),NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup),1487,WCOSS Network FY12/FY13,WCOSS WAN support for bridge and new 10-year WCOSS contracts. Provides fit-up to new WCOSS facilities with the execution of Task Order 001 plus WAN O&M forBridge systems.,2011-01-10T00:00:00Z,2013-09-30T00:00:00Z,993,,,,3.936,3.935,3.9,17/08/2012,11:41:56,
6,006-000310400,703,Department of Commerce(6),NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup),1488,WCOSS Dissemination Services FY12/FY13,FY12/FY13 O&M for WCOSS dissemination Services to incude the NOAA OCIO WOC.,2011-01-10T00:00:00Z,2013-09-30T00:00:00Z,993,,,,1.05,0.480001,0.480001,17/08/2012,11:41:57,
6,006-000310400,703,Department of Commerce(6),NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup),1489,WCOSS Transition and Restore Operational Capabilities (five year base period),Execute WCOSS ID/IQ Task Orders to restore operational capability through growth options with approved funding.,2011-12-12T00:00:00Z,2017-02-14T00:00:00Z,1891,,,,17,17,17,17/08/2012,11:41:57,
