Agency_Code,Unique_Investment_Identifier,Business Case ID,Agency,Investment Title,Project_ID,Project_Name,Project Description,Start_Date,Completion_Date,Duration,Planned_Completion_Date,Planned_Duration,Projected/Actual Project Completion Date (B2),Lifecycle_Cost,Planned_Cost,Projected/Actual Cost ($ M),Updated Date,Updated Time,Column
7,007-000000342,20,Department of Defense(7),"Joint Tactical Radio System (JTRS) - HANDHELD, MANPACK, AND SMALL FORM FIT RADIOS (HMS)",2582,Low Rate Initial Production (LRIP) - LRIP will begin in FY11 and continue through FY14.,"HMS radios are divided into 2 phases with two 1-year LRIP options per phase.  Phase 1 LRIP will produce 14,592 radios and Phase 2 LRIP will produce 4,782 radios.",2011-07-29T00:00:00Z,2012-09-30T00:00:00Z,429,,,,503.471,503.471,0,26/10/2011,8:43:41,
7,007-000000483,22,Department of Defense(7),EXPEDITIONARY COMBAT SUPPORT SYSTEM,2584,Increment 1: Pilot B,Base Equipment Management.,2009-09-30T00:00:00Z,2011-10-15T00:00:00Z,745,2011-10-15T00:00:00Z,745,2011-10-15T00:00:00Z,134.182,45.755,45.755,26/10/2011,8:56:47,
7,007-000000483,22,Department of Defense(7),EXPEDITIONARY COMBAT SUPPORT SYSTEM,2585,Increment 1: Pilot C,Base Materiel and Equipment Management.,2009-09-30T00:00:00Z,2012-06-15T00:00:00Z,989,,,,428.268,428.268,428.268,26/10/2011,8:56:47,
7,007-000000510,25,Department of Defense(7),EXECUTIVE INFORMATION/DECISION SUPPORT,2586,EI/DS enhancements,"EI/DS provides centralized collection, storage and availability of data, in various data marts, to managers, clinicians, and analysts for the management of the business of health care. This data includes inpatient dispositions, outpatient encounters, laboratory, radiology, and pharmacy workload, TRICARE network patient encounter records, TRICARE mail order pharmacy patient encounter records, beneficiary demographics, MTF workload and cost information, eligibility and enrollment, Pharmacy Data Transaction Service data, customer satisfaction surveys, and data associated with the Wounded Warrior project. The Military Health System Data Repository (MDR) is the centralized data repository for the Department of Defense Military Health System (MHS) that captures, validates, and distributes health network data worldwide.This project is to expand visibility of forecasting data within the MDR application and to develop data feed in support of service agencies.",2011-03-10T00:00:00Z,2013-06-29T00:00:00Z,841,,,,5.716,5.716,5.716,20/07/2012,6:14:24,
7,007-000000594,26,Department of Defense(7),DEFENSE INFORMATION SYSTEM FOR SECURITY,2587,Case Adjudication Tracking System Single Code Base,This project involves developing a single code base for the Case Adjudication Tracking System (CATS).,2010-01-01T00:00:00Z,2012-12-31T00:00:00Z,1095,,,,12.117,6.55,6.55,26/10/2011,8:56:48,
7,007-000000594,26,Department of Defense(7),DEFENSE INFORMATION SYSTEM FOR SECURITY,2588,Deploy Automated Continuing Evaluation System Releases,Deploy functionality to further enhance records check automation.,2009-01-02T00:00:00Z,2013-09-30T00:00:00Z,1731,,,,13.05,3.871,3.871,26/10/2011,8:56:48,
7,007-000000594,26,Department of Defense(7),DEFENSE INFORMATION SYSTEM FOR SECURITY,2589,DISS Family of Systems (FoS),The DISS FoS will replace the Joint Personnel Adjudication System (JPAS) as the automated DoD security clearance tool.,2011-10-18T00:00:00Z,2014-12-31T00:00:00Z,1170,,,,40,19,19,26/10/2011,8:56:48,
7,007-000000595,27,Department of Defense(7),DEFENSE INFORMATION SYSTEM NETWORK,2590,DISN Technology Refreshment (LETR/0300),DISN Tech Refresh Definition.,2007-01-11T00:00:00Z,2017-09-30T00:00:00Z,3914,,,,717.945,113.975,113.974,27/04/2012,9:58:24,
7,007-000000595,27,Department of Defense(7),DEFENSE INFORMATION SYSTEM NETWORK,2591,DISN TECHNOLOGY REFRESHMENT (LETR/0400),"DISN Technology Refresh plans, purchases, and implements replacements for end of life (EOL) components of the DISN and DISN-supported systems.",2007-01-10T00:00:00Z,2017-09-30T00:00:00Z,3915,,,,37.845,7.4,7.4,30/01/2012,13:41:15,
7,007-000000595,27,Department of Defense(7),DEFENSE INFORMATION SYSTEM NETWORK,2592,PRESIDENTIAL AND NATIONAL VOICE CONFERENCING (PNVC)(LENP/0400),"Presidential and National Voice Conferencing (PNVC) is the AEHF survivable SATCOM voice conferencing (SSVC) system that provides a near toll-quality voice conferencing capability to the President and other senior national/military leaders anywhere in the world.   PNVC activities include program management, system engineering, development, integration, installation, and testing of new baseband (audio-summing, cryptographic, and voice encoder/decoder) equipment.",2008-01-10T00:00:00Z,2017-09-30T00:00:00Z,3550,,,,68.964,6.255,6.255,26/10/2011,8:56:49,
7,007-000000595,27,Department of Defense(7),DEFENSE INFORMATION SYSTEM NETWORK,2593,DEFENSE RED SWITCH NETWORK (DRSN) (LE4C/0400),"Defense Red Switch Network provides Multi-Level secure voice calling and conferencing for DoD and other Federal Departments including gateway interfaces to other secure voice systems. Secure Voice switches are special purpose government only systems, not commercial products.",2009-01-10T00:00:00Z,2017-09-30T00:00:00Z,3184,,,,16.924,3.798,3.798,26/10/2011,8:56:49,
7,007-000000595,27,Department of Defense(7),DEFENSE INFORMATION SYSTEM NETWORK,2594,ENHANCED PENTAGON CAPABILITY / SURVIVABLE EMERGENCY CONFERENCING NETWORK (EPC/SECN) (LE4D/0300-0100),"Enhanced Pentagon Capability (EPC)/Survivable Emergency Conferencing Network (SECN) are two related Nuclear Command and Control (C2) secure voice systems. They support senior leadership secure voice conferencing, using survivable SATCOM links (DSCS/MILSTAR) and HEMP protected secure voice conferencing switches. This project supports the sustainment of the switching systems and interfaces, but not the satcom terminals or space segments.",2008-01-10T00:00:00Z,2017-09-30T00:00:00Z,3550,,,,16.011,10.987,10.987,26/10/2011,8:56:49,
7,007-000000595,27,Department of Defense(7),DEFENSE INFORMATION SYSTEM NETWORK,2595,JOINT WORLDWIDE INTELLIGENCE COMMUNICATIONS SYSTEM (JWICS) (LE2M/0300),"JWICS is the Top Secret (TS) Special Compartmented Information (SCI) Wide Area Network that provides Video TeleConferencing (VTC), Voice over Internet Protocol (VoIP) and data services to the DoD, the Intelligence Community (IC), Federal decision makers, warfighters and intelligence analysts worldwide.  JWICS is the network that ties all community SCI networks together into one common fabric.",2008-01-10T00:00:00Z,2017-09-30T00:00:00Z,3550,,,,112.442,18.1,18.1,26/10/2011,8:56:49,
7,007-000000595,27,Department of Defense(7),DEFENSE INFORMATION SYSTEM NETWORK,2596,OPERATIONAL SUPPORT SYSTEMS (OSS) (LEMT/0400),"The Operational Support Systems provide operational and network operating systems that instrument and automate the operations, administration, maintenance and provisioning functions creating a single DISN-wide view for network managers and operators. Collectively, these systems are known as the DISN Operational Support Systems (OSS).",2008-01-10T00:00:00Z,2017-09-30T00:00:00Z,3550,,,,12.543,2.653,2.653,26/10/2011,8:56:49,
7,007-000000613,28,Department of Defense(7),Defense Medical Logistics Standard Support,2598,DMLSS Modules,"DMLSS Module: Development, integration and upgrades.",2011-01-12T00:00:00Z,2013-05-31T00:00:00Z,869,2013-05-31T00:00:00Z,869,2013-05-31T00:00:00Z,24.88,24.879,24.879,30/01/2012,13:41:16,
7,007-000000880,30,Department of Defense(7),GLOBAL BROADCAST SERVICE,2600,SBM DECC Transition,Transitions current GBS broadcast capabilities from current ageing facilities to  Defense Enterprise Computing Centers operated by DISA.,2008-01-10T00:00:00Z,2013-09-30T00:00:00Z,2089,,,,122.393,24.385,24.385,26/10/2011,8:56:59,
7,007-000000880,30,Department of Defense(7),GLOBAL BROADCAST SERVICE,2601,Receive Suite Activities,Continues development activites for the Rucksack Portable Receive Suite (RPRS) in order to derive a production baseline.   Purchases four qualification units for Transportable Ground Receive Suites (TGRS) and finalizes all training plans and product documentation.,2010-01-10T00:00:00Z,2012-09-30T00:00:00Z,993,,,,21.446,14.289,14.289,26/10/2011,8:56:59,
7,007-000000881,31,Department of Defense(7),GLOBAL COMMAND AND CONTROL SYSTEM- JOINT,2602,GCCS-J Sustainment,"Provide critical and necessary support activities (e.g., maintaining licenses, commercial software updates, installing patches, hardware maintenance, responding to priority Information Assurance Vulnerability Alerts (IAVAs) and critical Software Problem Reports impacting operations, supporting exercises, updating documentation, and maintaining system security certification and accreditation), hardware and software techical refresh for the deployed system.",2011-03-10T00:00:00Z,2012-09-30T00:00:00Z,569,2012-09-30T00:00:00Z,569,2012-09-30T00:00:00Z,70.297,70.296,70.296,26/10/2011,8:57:00,
7,007-000000881,31,Department of Defense(7),GLOBAL COMMAND AND CONTROL SYSTEM- JOINT,2603,GCCS-J Modernization,Modernization of key Joint Command and Control (JC2) capability areas leveraging new technology and revamping processes. Begin transition from use of local stand-alone enclaves to the implementation of Enterprise services.,2011-03-10T00:00:00Z,2012-09-30T00:00:00Z,569,2012-09-30T00:00:00Z,569,2012-09-30T00:00:00Z,32.921,32.918,32.918,26/10/2011,8:57:00,
7,007-000000881,31,Department of Defense(7),GLOBAL COMMAND AND CONTROL SYSTEM- JOINT,2604,JPES Sustainment,"Provide critical and necessary activites (e.g.: software and systems engineering support, modernization, integration, testing, operational support and technical services necessary to analyze, design, test, certify & accredit, deploy and maintain quality software) for the Joint Planning and Execution Services (JPES) applications.",2011-03-29T00:00:00Z,2012-09-09T00:00:00Z,530,2012-09-09T00:00:00Z,530,2012-09-28T00:00:00Z,13.734,13.733,10.565,20/07/2012,6:14:24,
7,007-000000881,31,Department of Defense(7),GLOBAL COMMAND AND CONTROL SYSTEM- JOINT,2605,JPES Development,Joint Planning and Execution System (JPES) serves as the material developer of APEX enterprise capabilites in accordance with the Adapative Planning Roadmap II in support of the Joint Planning and Execution Community (JPEC) enterprise capabilities to include complete lifecycle support for development and/or integration of capabilities against validated requirements and net-centric Command and Control (C2) architecture.,2011-03-29T00:00:00Z,2012-10-09T00:00:00Z,560,2012-10-09T00:00:00Z,560,2012-09-28T00:00:00Z,32.987,32.987,14.371,20/07/2012,6:14:24,
7,007-000000884,33,Department of Defense(7),GLOBAL DECISION SUPPORT SYSTEM,2608,Aviation Operational Risk Management (AvORM),"AvORM will provide Mobility Air Forces (MAF) aircrews, planners, schedulers, flight managers, and senior leaders predictive analysis tools to mitigate aircrew and mission risks, and reverse the growing safety incidents in worldwide flight operations.  Risks include human fatigue, flight parameters (e.g., weather, airfield conditions/restrictions), planning factors (e.g., Notices to Airmans (NOTAMS), hazardous airspace), and mission factors (e.g., hazardous cargo, tactical navigation, air refueling, aeromedical evacuation).",2010-09-19T00:00:00Z,2014-09-19T00:00:00Z,1461,2012-09-30T00:00:00Z,742,2012-09-30T00:00:00Z,4.668,2.771,2.906,30/01/2012,13:41:17,
7,007-000000884,33,Department of Defense(7),GLOBAL DECISION SUPPORT SYSTEM,2609,Global Aircrew Scheduling (GAS),"Global Aircrew Scheduling provides unit-level scheduling capability and flight operations, resource allocation, and mission execution data.",2011-01-04T00:00:00Z,2018-09-30T00:00:00Z,2825,,,,57.403,8.925,7.373,15/03/2012,12:31:59,
7,007-000000884,33,Department of Defense(7),GLOBAL DECISION SUPPORT SYSTEM,2610,Global Aircrew Management (GAM),Global Aircrew Management development provides tracking of crew members; reduces time/effort and enhances accuracy of MAF aircrew allocation and management.,2011-01-04T00:00:00Z,2018-09-30T00:00:00Z,2825,,,,70.052,13.461,12.234,15/03/2012,12:31:59,
7,007-000000884,33,Department of Defense(7),GLOBAL DECISION SUPPORT SYSTEM,2611,Dynamic Mission Replanning (DMR),Dynamic Mission Replanning development tool synchronizing mobility missions in real time.,2011-01-04T00:00:00Z,2018-09-30T00:00:00Z,2825,,,,123.878,17.544,15.782,15/03/2012,12:31:59,
7,007-000001046,34,Department of Defense(7),Air and Space Operations Center - Weapon System,2623,AOC 10.1,Increment 10.1 development/fielding has been provided through follow-on delivery orders providing standardization and upgrades to the infrastructure thru recurring events.  This will continue on as an organic task but on a decreasing level as Increment 10.2 is developed.,2003-12-15T00:00:00Z,2012-09-30T00:00:00Z,3211,2012-09-30T00:00:00Z,3211,2012-09-30T00:00:00Z,754.895,754.895,797,26/10/2011,8:57:07,
7,007-000001046,34,Department of Defense(7),Air and Space Operations Center - Weapon System,2624,AOC 10.2,"Increment 10.2 Development/Fielding provides for the development/integration of net-centric infrastructure, and the integration of selected 3rd party applications onto the infrastructure to meet Inc 10.2 requirements.",2007-12-09T00:00:00Z,2017-09-30T00:00:00Z,3582,2017-09-30T00:00:00Z,3582,2017-09-30T00:00:00Z,485.476,485.476,485.476,26/10/2011,8:57:07,
7,007-000000882,48,Department of Defense(7),GLOBAL COMBAT SUPPORT SYSTEM-JOINT,2606,GCSS-J Increment 7,"The Global Combat Support System-Joint (GCSS-J) is an information technology (IT) application that continues to transition to a service oriented architecture to deliver asset visibility to the joint logistician (i.e., essential capabilities, functions, activities, and tasks necessary to sustain all elements of operating forces in theater at all levels), and facilitates information interoperability across and between Combat Support and Command and Control functions.  In conjunction with other Global Information Grid elements including GCCS-J, Defense Information Systems Network, Computing Services, and Combatant Commands/Services/Agencies information architectures, GCSS-J will provide the IT capabilities required to move and sustain joint forces throughout the spectrum of military operations.GCSS-J significantly increases access to information stored in disparate databases via a single sign on, web portal application, using a Secret Internet Protocol Router Network (SIPRNet) Public Key Infrastructure certificate.  The GCSS-J infrastructure provides secure web-access, discrete user account administration, data mediation, and enterprise management features that facilitate delivery of capabilities to meet the vision of a net-centric architecture, as well as the integration of information across combat support functional areas.  GCSS-J uses web-based technology to meet the tenets of Joint Publication 4-0, Joint Logistics; GCSS-J provides the IT capability to plan, execute, and control joint logistics operations.",2008-10-01T00:00:00Z,2014-03-31T00:00:00Z,2007,2012-08-11T00:00:00Z,1410,2012-08-11T00:00:00Z,227.643,39.71,39.71,30/01/2012,13:34:48,
7,007-000001911,50,Department of Defense(7),Theater Battle Management Core System,2665,TBMCS UL Increment 2,Development Delivery Order.,2009-02-27T00:00:00Z,2012-01-11T00:00:00Z,1048,2012-01-31T00:00:00Z,1068,2012-12-07T00:00:00Z,2.5,2.5,2.65,26/10/2011,9:10:31,
7,007-000001913,51,Department of Defense(7),THEATER MEDICAL INFORMATION PROGRAM-Joint,2666,Medical Situation Awareness Technology (MSAT)/Theater Medical Data Store (TMDS) development and integration,"TMIP-J provides information at the point of care and to the Theater tactical and strategic decision makers through efficient, reliable data capture, and data transmission to a centralized Theater database.  TMIP-J fulfills the premise of Train as you fight through the integration of components which are identical or analogous to systems from the sustaining base. Development and Integration of MSAT/TMDS into TMIP-J as part of the Increment 2 Release 2 interface.  MSAT will link together information that encompasses disease and non-battle related injuries; physical and psychological trauma; patient tracking; chemical and biological threats; environmental and occupational health; intelligence; Command and Control data; personnel; unit locations and weather.Theater Medical Data Store (TMDS) serves as the authoritative Theater database for collecting, distributing and viewing Service members'' pertinent medical information. It provides one central location for healthcare providers to view Theater medical data. TMDS updates the AHLTA Clinical Data Repository (CDR), where all Service members'' Electronic Health Records (EHR) reside. This information is also made available to the VA through an interface known as Bidirectional Health Information Exchange-Theater (BHIE-T). Using TMDS, medical staff can view airlifted critically injured patients'' history, progress notes, laboratory, drug and radiological history before arrival at their next location. TMDS supports the collection of information from first responder, battalion aid station and Theater hospitals and makes the information readable in Theater and back to OCONUS and CONUS hospitals and ultimately to the CDR and to the VA.",2010-09-30T00:00:00Z,2012-09-29T00:00:00Z,730,2012-09-29T00:00:00Z,730,2012-09-29T00:00:00Z,14.596,14.596,14.596,20/07/2012,6:14:25,
7,007-000001913,51,Department of Defense(7),THEATER MEDICAL INFORMATION PROGRAM-Joint,2667,TMIP Composite Health Care System Cache (TC2),"TC2 development and integration effort as part of the Increment 2 Release 2 interface. TC2 provides documentation for inpatient healthcare and ancillary services order-entry and result-reporting in the deployed environment. TC2 provides inpatient management, laboratory, radiology and pharmacy ordering capabilities and enables users to schedule outpatient clinic and radiology procedures.TC2 uses the TMIP Framework for transmission of data to the Theater Medical Data Store (TMDS).",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,0.546,0.546,0.546,1/6/2012,10:50:34,
7,007-000001913,51,Department of Defense(7),THEATER MEDICAL INFORMATION PROGRAM-Joint,2668,Theater Integration,"Continue integration associated with TMIP Increment 2 designs, migrate from Increment 2 Release 1 to Increment 2 Release 2 releases. The TMIP Framework (TF) shall include net-centric, non-net-centric, austere or disconnected commo on hardware in Theater and shall work with VA products and EMR systems. TMIP-J Increment 2 Block 2 (I2 R2) provides information management/information technology (IM/IT) for the Military's deployed medical business practice and includes systems and applications that support related aspects of Theater care that include medical supplies, equipment, healthcare documentation, patient visibility, and medical surveillance.",2010-01-10T00:00:00Z,2012-09-30T00:00:00Z,993,2012-09-30T00:00:00Z,993,2012-09-30T00:00:00Z,17.695,17.695,17.695,20/07/2012,6:14:25,
7,007-000001794,52,Department of Defense(7),STANDARD PROCUREMENT SYSTEM,2662,Service Release 14,Service Release14 provides technology refresh and application updates to the Standard Procurement System including support for:-  Unit price changes when exchange rate is changed in a CLIN (Phase 2)-  ACRN Renumbering when using the Attach Function -  Windows Vista/7-  Microsoft Server 2008 OS/PD2 Client Compatibility -  webMethods Ver. 8 -  Lock CLIN Numbering in Award Modification -  EDA IDX File (ACO Mods) -  DFARS 204.7104-1 -  Adapter Award Data Elements for SF 1449.,2011-05-31T00:00:00Z,2012-03-29T00:00:00Z,303,2012-03-29T00:00:00Z,303,2012-03-29T00:00:00Z,1.415,1.415,1.415,26/10/2011,9:10:28,
7,007-000001794,52,Department of Defense(7),STANDARD PROCUREMENT SYSTEM,2663,Product Sustainment 2012,"Develop, test and deploy critical fixes, technology refreshes and IA upgrades of post service releases based on identified user requirements and policy/regulation changes. This capability is anticipated to continue for the SPS program while in its sustainment mode thereby being responsive to the performance needs of its 27,000 users world-wide.",2012-01-01T00:00:00Z,2012-12-31T00:00:00Z,365,,,,2.595,2.595,2.595,26/10/2011,9:10:28,
7,007-000002180,53,Department of Defense(7),INSTALLATION INFORMATION INFRASTRUCTURE MODERNIZATION PROGRAM,2671,Installation Information Infrastructure Modernization Program,"The Installation Information Infrastructure Modernization Program (I3MP) connects the Joint Warfighter through modernization and lifecycle management of the information infrastructure, to support the Global Network Enterprise Construct (GNEC).  I3MP modernizes installation infrastructure by using a standard architecture and common suite of equipment.  The program seamlessly integrates Access, Distribution, Core, Secure, and Transport Infrastructure Sub-systems to enable voice, video, and data services into a single cohesive system, and establishes, extends, and/or refreshes the connections and technologies that make up a Communications Infrastructure System (CoinS) and support an installation's Campus Area Network (iCAN).  I3MP delivers a seamless system by providing the cable plant, switches, security devices, and network management capabilities that comprise a standard digital network, allowing people and computers on an installation to connect to each other and the installation network to connect to the Department of Defense global network, known as the Global Information Grid (GIG).  The infrastructures are capable of supporting Defense Reform Initiatives, the GIG-Bandwidth Expansion, Voice over Internet Protocol (VoIP), and Unified Capabilities (UC) initiatives and are critical for both reach back and power projection of the digital division and employment of advanced technology supporting agile combat forces.",2000-01-10T00:00:00Z,2018-09-30T00:00:00Z,6837,2012-09-30T00:00:00Z,4646,2012-09-30T00:00:00Z,495.518,480.261,480.261,29/02/2012,9:53:43,
7,007-000002213,54,Department of Defense(7),"MANEUVER CONTROL SYSTEM, V6.4",2672,Collapse Development and Integration,Development and integration tied to Battle Command Collapse strategy for various Mission Command products.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,35.566,0.37,12.968,4/1/2012,13:31:41,
7,007-000002213,54,Department of Defense(7),"MANEUVER CONTROL SYSTEM, V6.4",2673,Joint Convergence Development,Continuing development of MIP enables Coalition commanders to exchange digital battlefield information among countries from Corps to Company level.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,3.899,3.899,3.899,4/1/2012,13:31:41,
7,007-000002213,54,Department of Defense(7),"MANEUVER CONTROL SYSTEM, V6.4",2674,BCCS Software Development and Technical Support,"Continuation of development of BCCS architecture to provide the standardized Mission Command infrastructure including; Information Services Infrastructure (ISI), ABCS Interoperability Services, and Collaboration Services.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,5.394,5.394,5.394,4/1/2012,13:31:41,
7,007-000002213,54,Department of Defense(7),"MANEUVER CONTROL SYSTEM, V6.4",2675,CPOF Development,"Continuing development of Command Post of the Future, providing an array of real-time situational awareness tools to support decision-making, planning, rehearsal, and execution management.  Development of CPOF Third Generation (3G) will enable full-spectrum operations, global scalability and seamless transition between connected and disconnected operations.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,16.571,16.571,16.571,4/1/2012,13:31:42,
7,007-000002213,54,Department of Defense(7),"MANEUVER CONTROL SYSTEM, V6.4",2676,Test and Evaluation,Continuing government and contractor test and evaluation and associated support for Tactical Mission Command baseline.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,0.36,0.36,0.36,4/1/2012,13:31:42,
7,007-000002213,54,Department of Defense(7),"MANEUVER CONTROL SYSTEM, V6.4",2677,Program Management Support,Management and associated support for Tactical Mission Command development efforts.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,3.212,3.212,3.212,4/1/2012,13:31:42,
